id;name;species;room;watering_interval_days;light_needs;acquired_at;notes;image_url;created_at;updated_at;user_id;parent_id;tags;water_snooze_until
8412bda4-bffe-4728-9d6f-912362c65e66;Kajsa;Calathea ’White Fusion’;Badrummet;;Indirekt;2026-05-21;Köpt från Ormbunker i en 6 cm-kruka🥹;https://roywwdnthvczcavmnrsw.supabase.co/storage/v1/object/public/plant-images/6712a310-fee2-4123-9d0b-ff088305935f/80c2a724-b0b7-431a-9353-68c0da976ab5.jpeg;2026-06-02 21:35:45.128064+00;2026-06-02 21:36:02.391003+00;6712a310-fee2-4123-9d0b-ff088305935f;;[];
78d012e9-173a-4b0a-8611-b46c7a32471d;Lova;Calathea ’Medallion’;Badrummet;;Indirekt;2026-05-21;Köpt från Ormbunker i en 6 cm-kruka🥰;https://roywwdnthvczcavmnrsw.supabase.co/storage/v1/object/public/plant-images/6712a310-fee2-4123-9d0b-ff088305935f/b7f6ce99-3df1-4059-849e-9c6bd8fb0c1f.jpeg;2026-06-02 21:40:00.552766+00;2026-06-02 21:40:00.552766+00;6712a310-fee2-4123-9d0b-ff088305935f;;[];
03755eed-223d-4182-adae-7a2e886c6ad5;Sofia;Ficus Elastica ’Sofia’;Kök;20;Morgonsol;2026-05-21;Köpt från plantagen;https://roywwdnthvczcavmnrsw.supabase.co/storage/v1/object/public/plant-images/6712a310-fee2-4123-9d0b-ff088305935f/36bc746e-f3e0-461a-a1dc-8801a2ee2877.jpeg;2026-06-02 21:46:10.463684+00;2026-06-02 21:46:10.463684+00;6712a310-fee2-4123-9d0b-ff088305935f;;[];
a162605a-3e3a-4864-a84b-3ef425d41072;Stina;Coleus Scutellarioides (palettblad);Kök;14;Morgonsol;2024-10-02;Fick av Barrskogs;https://roywwdnthvczcavmnrsw.supabase.co/storage/v1/object/public/plant-images/6712a310-fee2-4123-9d0b-ff088305935f/a5cdbad0-219e-416a-9cf8-bb91c6dc561b.jpeg;2026-06-02 10:13:33.940688+00;2026-06-03 19:17:24.841792+00;6712a310-fee2-4123-9d0b-ff088305935f;;[];
9dc66f66-2b90-46ab-8f35-3d7d97bee69e;Elvira;Oxalis Triangularis;Köksfönster;7;Direkt;2026-05-21;Köpt på plantagen. Var jättefin när jag köpte henne men fick en chock i mitt fönster och bladen blev lite gröna.;https://roywwdnthvczcavmnrsw.supabase.co/storage/v1/object/public/plant-images/6712a310-fee2-4123-9d0b-ff088305935f/744b2350-b6a3-491f-856a-85967fe37d78.jpeg;2026-06-02 09:57:01.632657+00;2026-06-03 19:46:42.731758+00;6712a310-fee2-4123-9d0b-ff088305935f;;[];
f1b07214-c06f-4171-a69e-dbf252315ee8;Astrid;Orkidé Phalaenopsis Mini (vit);Kök;14;Morgonsol;2023-06-06;Fick som pris i dressyrtävling på Enskede ridskola.;https://roywwdnthvczcavmnrsw.supabase.co/storage/v1/object/public/plant-images/6712a310-fee2-4123-9d0b-ff088305935f/93ed9283-c0b5-48fb-9fb8-08c3f0d100b8.jpeg;2026-06-02 06:43:59.022859+00;2026-06-04 11:18:40.031049+00;6712a310-fee2-4123-9d0b-ff088305935f;;"[""orkidé"",""kök""]";
84db0ed8-f480-4e8d-8073-a2bc855f9e9c;Saga;Orkidé Phalaenopsis Mini (vit);Kök;14;Morgonsol;2025-06-02;Vet ej exakt när den dök upp som Keiki.;https://roywwdnthvczcavmnrsw.supabase.co/storage/v1/object/public/plant-images/6712a310-fee2-4123-9d0b-ff088305935f/a205a793-07f0-49f7-9a68-569bfa061900.jpeg;2026-06-02 07:14:32.618641+00;2026-06-04 11:19:50.870781+00;6712a310-fee2-4123-9d0b-ff088305935f;f1b07214-c06f-4171-a69e-dbf252315ee8;"[""kök"",""orkidé""]";
0fd4faf3-2a49-4eb8-a414-4fd5621c2fa3;Thea;Orkidé Phalaenopsis Mini (vit);Kök;14;Morgonsol;2023-06-06;Fick som pris på dressyrtävling Enskede Ridskola.;https://roywwdnthvczcavmnrsw.supabase.co/storage/v1/object/public/plant-images/6712a310-fee2-4123-9d0b-ff088305935f/f2fed004-c03c-4294-91ec-845212b5fb8d.jpeg;2026-06-02 07:55:11.72545+00;2026-06-05 17:58:29.945488+00;6712a310-fee2-4123-9d0b-ff088305935f;;[];
9ff186d7-cafe-4d71-89c3-d7e866939878;Sonja;Monstera Adansonii;Kök;14;Indirekt;2026-05-31;Köpt på plantagen;https://roywwdnthvczcavmnrsw.supabase.co/storage/v1/object/public/plant-images/6712a310-fee2-4123-9d0b-ff088305935f/427fae84-3a16-4b19-ba17-19c9a1169691.jpeg;2026-06-02 22:05:22.756967+00;2026-06-02 22:05:22.756967+00;6712a310-fee2-4123-9d0b-ff088305935f;;[];
ce029c82-a7e4-4c8a-b191-cdb5449f2285;Selma;Alocasia ’Frydek’;Kök;14;Indirekt;2026-05-31;Köpt på plantagen;https://roywwdnthvczcavmnrsw.supabase.co/storage/v1/object/public/plant-images/6712a310-fee2-4123-9d0b-ff088305935f/a9f7b6ed-7ef0-4bb2-82e3-ed7ef9fa7219.jpeg;2026-06-02 21:58:43.734608+00;2026-06-02 22:05:51.882893+00;6712a310-fee2-4123-9d0b-ff088305935f;;[];
c0e3b058-7126-4010-967d-62ed75b6698b;Svea;Hedera Helix (murgröna);Kök;20;Skugga;2025-09-09;Köpt på ICA Liljeholmen;https://roywwdnthvczcavmnrsw.supabase.co/storage/v1/object/public/plant-images/6712a310-fee2-4123-9d0b-ff088305935f/cd10aee8-a207-4998-aafe-b0878e72590a.jpeg;2026-06-02 10:03:00.906649+00;2026-06-03 08:53:50.242538+00;6712a310-fee2-4123-9d0b-ff088305935f;;[];
8231d701-c539-4de5-aa9a-5e22864f23b6;My;Sanseviera ’Sculpture Plant’;Kök;28;Indirekt;2026-05-31;Köpt på plantagen som en liten mini🥹;https://roywwdnthvczcavmnrsw.supabase.co/storage/v1/object/public/plant-images/6712a310-fee2-4123-9d0b-ff088305935f/ab7935b4-e90a-40a7-b211-73eb396f448b.jpeg;2026-06-03 07:00:49.882523+00;2026-06-03 08:59:06.429612+00;6712a310-fee2-4123-9d0b-ff088305935f;;[];
27dd967c-a3bb-4898-b431-83feace874f6;Kerstin;Sansevieria ’Fernwood Punk’;Kök;28;Indirekt;2026-05-31;Köpt på plantagen som en mini🥹;https://roywwdnthvczcavmnrsw.supabase.co/storage/v1/object/public/plant-images/6712a310-fee2-4123-9d0b-ff088305935f/29420beb-63dd-45b5-8508-ce99b38132db.jpeg;2026-06-03 07:01:52.843731+00;2026-06-03 09:04:24.586471+00;6712a310-fee2-4123-9d0b-ff088305935f;;[];
9f878ec4-c6d5-4e8e-979d-fa238b4959ab;Agnes;Echinopsis Oxygona (kökssjöborrekaktus);Kök;28;Indirekt;2026-05-31;Köpt på plantagen som en mini🥹;https://roywwdnthvczcavmnrsw.supabase.co/storage/v1/object/public/plant-images/6712a310-fee2-4123-9d0b-ff088305935f/212e1a2e-143c-442a-afda-5ab4af84bd7d.jpeg;2026-06-03 07:01:28.672321+00;2026-06-03 09:07:40.255401+00;6712a310-fee2-4123-9d0b-ff088305935f;;[];
98a7d0af-df24-4a9a-96ef-ad4e61268c09;Vera;Aloe Vera;Kök;14;Skugga;2024-10-02;Fick av Barrskogs;https://roywwdnthvczcavmnrsw.supabase.co/storage/v1/object/public/plant-images/6712a310-fee2-4123-9d0b-ff088305935f/2a3ac814-5521-4cad-98f6-29156b67cd5f.jpeg;2026-06-03 09:12:00.58572+00;2026-06-03 09:12:00.58572+00;6712a310-fee2-4123-9d0b-ff088305935f;;[];
9e201ce9-9093-463a-9ef8-78fa25409109;Klara;Coleus Scutellarioides (palettblad);Köksfönster;14;Morgonsol;2026-06-03;Alla sticklingarna fick inte plats tillbaka ner i stora krukan så det fick bli en till rackare!;https://roywwdnthvczcavmnrsw.supabase.co/storage/v1/object/public/plant-images/6712a310-fee2-4123-9d0b-ff088305935f/232bc77c-359c-4acd-b2d6-51f22f5b7961.jpeg;2026-06-03 20:55:16.101025+00;2026-06-04 08:54:48.886608+00;6712a310-fee2-4123-9d0b-ff088305935f;a162605a-3e3a-4864-a84b-3ef425d41072;[];
c972f68d-de96-4e3f-9f29-09515d1de731;Lisa;Monstera Borsigiana;Vardagsrum;14;Skugga;2025-12-18;Köpte av en tjej som haft den i 10 år. Hon köpte den från Rosendals Trädgård.;https://roywwdnthvczcavmnrsw.supabase.co/storage/v1/object/public/plant-images/6712a310-fee2-4123-9d0b-ff088305935f/ec5f745c-05a4-45a3-b96a-e391234f9efd.jpeg;2026-06-02 10:59:18.90566+00;2026-06-04 21:33:10.664876+00;6712a310-fee2-4123-9d0b-ff088305935f;;[];
